produit,gamme,theme,forme,prix,note,indications,composition,description,posologie,contre_indications,points_positifs,points_negatifs,verdict,note_intelligente,avis_clients,url_image,url_product,lifecycle,texte_rag
Amincissant Actif,Autres,Minceur,Gélule,24.0,4.0,"– Facilite les fonctions d’élimination de l’organisme
– Aide à maintenir un poids corporel normal
– Cellulite
– Obésité
– Rétention d’eau
– Brûle graisse","Orthosiphon, thé vert, Piloselle",Boite de 30 gélules,1 gélule par jour pendant 2 mois,Aucune,,,,,[],https://vital.com.tn/cdn/shop/products/amincissant-actif.jpg,https://vital.com.tn/products/amincissant-actif/,Croissance,"Produit: Amincissant Actif
Gamme: Autres
Theme: Minceur
Indications: – Facilite les fonctions d’élimination de l’organisme
– Aide à maintenir un poids corporel normal
– Cellulite
– Obésité
– Rétention d’eau
– Brûle graisse
Composition: Orthosiphon, thé vert, Piloselle
Points positifs: 
Verdict: 
Avis clients: "
Angiplant Gorge 20 ml Plantherapie Vital,Autres,Autre,,8.657,5.0,"Apaiser la gorge irritée, adoucir les tissus enflammés, assainir la gorge","Propolis, extrait sec de Guimauve, extrait sec d'Eucalyptus, extrait sec de Thym, Vitamine C, extrait sec d'Eryzimum","Spray triple action pour la gorge : antiseptique, anti-inflammatoire et cicatrisant.","3 pulvérisations au niveau de la gorge, 3 à 4 fois par jour",,"Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12",Nécessite une cure de 3 mois minimum,"Excellent produit pour anémie et fatigue, très bien toléré",4.6,"[""behi barcha"", ""gout du miel et de plantes"", ""Excellent"", ""nice product"", ""Je n\u2019ai pas aim\u00e9 ces comprim\u00e9s. Ils contiennent du sulfate de zinc et m\u2019ont caus\u00e9 des effets secondaires tels que des naus\u00e9es et des maux d\u2019estomac lorsque je les ai utilis\u00e9s \u00e0 jeun. Il est donc recommand\u00e9 de les prendre apr\u00e8s avoir mang\u00e9.""]",,,Croissance/Promo,"Produit: Angiplant Gorge 20 ml Plantherapie Vital
Gamme: Autres
Theme: Autre
Indications: Apaiser la gorge irritée, adoucir les tissus enflammés, assainir la gorge
Composition: Propolis, extrait sec de Guimauve, extrait sec d'Eucalyptus, extrait sec de Thym, Vitamine C, extrait sec d'Eryzimum
Points positifs: Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12
Verdict: Excellent produit pour anémie et fatigue, très bien toléré
Avis clients: behi barcha | gout du miel et de plantes | Excellent"
Angiplant Sirops,Autres,Autre,Liquide,8.5,5.0,"Apaiser la gorge irritée, adoucir les tissus enflammés, assainir la gorge","Propolis, extrait sec de Guimauve, extrait sec d'Eucalyptus, extrait sec de Thym, Vitamine C, extrait sec d'Eryzimum","Spray triple action pour la gorge : antiseptique, anti-inflammatoire et cicatrisant.","3 pulvérisations au niveau de la gorge, 3 à 4 fois par jour",,,,,,[],https://vital.com.tn/cdn/shop/products/angiplant.jpg,https://vital.com.tn/products/angiplant/,Croissance,"Produit: Angiplant Sirops
Gamme: Autres
Theme: Autre
Indications: Apaiser la gorge irritée, adoucir les tissus enflammés, assainir la gorge
Composition: Propolis, extrait sec de Guimauve, extrait sec d'Eucalyptus, extrait sec de Thym, Vitamine C, extrait sec d'Eryzimum
Points positifs: 
Verdict: 
Avis clients: "
Angiplant Spray,Autres,Autre,Spray,9.666,5.0,"Apaiser la gorge irritée, adoucir les tissus enflammés, assainir la gorge","Propolis, extrait sec de Guimauve, extrait sec d'Eucalyptus, extrait sec de Thym, Vitamine C, extrait sec d'Eryzimum","Spray triple action pour la gorge : antiseptique, anti-inflammatoire et cicatrisant.","3 pulvérisations au niveau de la gorge, 3 à 4 fois par jour",,,,,,"[""behi barcha""]",https://vital.com.tn/cdn/shop/products/angiplant-spray-2.jpg,https://vital.com.tn/products/angiplant-spray-2/,Croissance,"Produit: Angiplant Spray
Gamme: Autres
Theme: Autre
Indications: Apaiser la gorge irritée, adoucir les tissus enflammés, assainir la gorge
Composition: Propolis, extrait sec de Guimauve, extrait sec d'Eucalyptus, extrait sec de Thym, Vitamine C, extrait sec d'Eryzimum
Points positifs: 
Verdict: 
Avis clients: behi barcha"
ARGIDERM,Autres,Beauté/Peau,Savon,6.9,4.5,– Soin et traitement des peaux très sensibles,"Argile, Miel, Huile d'olive",Savon de 90 gr,Usage quotidien,Aucune,,,,,[],https://vital.com.tn/cdn/shop/products/argiderm-3.jpg,https://vital.com.tn/products/argiderm-3/,Croissance,"Produit: ARGIDERM
Gamme: Autres
Theme: Beauté/Peau
Indications: – Soin et traitement des peaux très sensibles
Composition: Argile, Miel, Huile d'olive
Points positifs: 
Verdict: 
Avis clients: "
ASHWAGANDHA,Autres,Energie,Gélule,16.9,4.83,"• Aide à maintenir un niveau d’énergie optimal
• Contribue à l’équilibre émotionnel et à la résistance au stress
• Aide à stimuler la libido",,60 Gélules,,,,,,,[],https://vital.com.tn/cdn/shop/products/ashwagandha.jpg,https://vital.com.tn/products/ashwagandha/,Maturité,"Produit: ASHWAGANDHA
Gamme: Autres
Theme: Energie
Indications: • Aide à maintenir un niveau d’énergie optimal
• Contribue à l’équilibre émotionnel et à la résistance au stress
• Aide à stimuler la libido
Composition: 
Points positifs: 
Verdict: 
Avis clients: "
CALMO dent,Autres,Autre,Autre,3.996,,– Soulage le mal des dents,"Huile essentielle de girofle, Huile essentielle de menthe",Tube de 4gr,"– Appliquer sur la dent ou la gencive, directement avec votre doit ou avec un bout de coton",,,,,,[],https://vital.com.tn/cdn/shop/products/calmo-dent.jpg,https://vital.com.tn/products/calmo-dent/,Croissance,"Produit: CALMO dent
Gamme: Autres
Theme: Autre
Indications: – Soulage le mal des dents
Composition: Huile essentielle de girofle, Huile essentielle de menthe
Points positifs: 
Verdict: 
Avis clients: "
Calmoss Antiacide,Calmoss,Digestif,Autre,7.5,4.89,"Équilibre acido-basique de l'estomac, fonctionnement normal des enzymes digestives",Carbonate de calcium,Complément alimentaire pour le bien-être.,"1 à 4 comprimés par jour, à partir de 12 ans","Allergie à l'un des composants, lithiases rénales oxalocalciques, troubles de métabolisme de fer",,,,,[],https://vital.com.tn/cdn/shop/products/calmoss-antiacide.jpg,https://vital.com.tn/products/calmoss-antiacide/,Maturité,"Produit: Calmoss Antiacide
Gamme: Calmoss
Theme: Digestif
Indications: Équilibre acido-basique de l'estomac, fonctionnement normal des enzymes digestives
Composition: Carbonate de calcium
Points positifs: 
Verdict: 
Avis clients: "
Calmoss Constipation,Calmoss,Digestif,Comprimé,7.5,,Bien-être général,,Complément alimentaire pour le bien-être.,Selon les besoins,,,,,,[],https://vital.com.tn/cdn/shop/products/calmoss-constipation.jpg,https://vital.com.tn/products/calmoss-constipation/,Croissance,"Produit: Calmoss Constipation
Gamme: Calmoss
Theme: Digestif
Indications: Bien-être général
Composition: 
Points positifs: 
Verdict: 
Avis clients: "
Calmoss Gorge Cassis,Calmoss,Articulations,Comprimé,7.59,,Soulager les maux de gorge,,Complément alimentaire pour le bien-être.,Sucer les comprimés selon les besoins,,,,,,"[""behi barcha""]",https://vital.com.tn/cdn/shop/products/calmoss-gorge-cassis.jpg,https://vital.com.tn/products/calmoss-gorge-cassis/,Croissance,"Produit: Calmoss Gorge Cassis
Gamme: Calmoss
Theme: Articulations
Indications: Soulager les maux de gorge
Composition: 
Points positifs: 
Verdict: 
Avis clients: behi barcha"
Calmoss Gorge Eucalyptus,Calmoss,Articulations,Comprimé,7.59,,Soulager les maux de gorge,,Complément alimentaire pour le bien-être.,Sucer les comprimés selon les besoins,,,,,,"[""behi barcha""]",https://vital.com.tn/cdn/shop/products/calmoss-gorge-eucalyptus.jpg,https://vital.com.tn/products/calmoss-gorge-eucalyptus/,Croissance,"Produit: Calmoss Gorge Eucalyptus
Gamme: Calmoss
Theme: Articulations
Indications: Soulager les maux de gorge
Composition: 
Points positifs: 
Verdict: 
Avis clients: behi barcha"
Calmoss Gorge Kids,Calmoss,Articulations,Comprimé,7.59,,Soulager les maux de gorge,,Complément alimentaire pour le bien-être.,Sucer les comprimés selon les besoins,,,,,,"[""behi barcha""]",https://vital.com.tn/cdn/shop/products/calmoss-gorge-kids.jpg,https://vital.com.tn/products/calmoss-gorge-kids/,Croissance,"Produit: Calmoss Gorge Kids
Gamme: Calmoss
Theme: Articulations
Indications: Soulager les maux de gorge
Composition: 
Points positifs: 
Verdict: 
Avis clients: behi barcha"
Calmoss Multivitaminé,Calmoss,Energie,Comprimé,8.96,,Bien-être général,,Complément alimentaire pour le bien-être.,Selon les besoins,,,,,,[],https://vital.com.tn/cdn/shop/products/calmoss-multivitamine.jpg,https://vital.com.tn/products/calmoss-multivitamine/,Croissance,"Produit: Calmoss Multivitaminé
Gamme: Calmoss
Theme: Energie
Indications: Bien-être général
Composition: 
Points positifs: 
Verdict: 
Avis clients: "
Calmoss Rhino,Calmoss,Articulations,Comprimé,7.59,,Soulager les symptômes du rhume,,Complément alimentaire pour le bien-être.,Selon les besoins,,,,,,[],https://vital.com.tn/cdn/shop/products/calmoss-rhino.jpg,https://vital.com.tn/products/calmoss-rhino/,Croissance,"Produit: Calmoss Rhino
Gamme: Calmoss
Theme: Articulations
Indications: Soulager les symptômes du rhume
Composition: 
Points positifs: 
Verdict: 
Avis clients: "
COALVI LIPOVITAL BT/60,Autres,Autre,,47.038,4.67,"Améliorer l'état des cheveux, favoriser la croissance et la fortification","Spiruline, vitamines, minéraux",Complément alimentaire pour la santé et la vitalité.,1 gélule le matin et 1 gélule le soir,,,,,,[],,,Croissance/Promo,"Produit: COALVI LIPOVITAL BT/60
Gamme: Autres
Theme: Autre
Indications: Améliorer l'état des cheveux, favoriser la croissance et la fortification
Composition: Spiruline, vitamines, minéraux
Points positifs: 
Verdict: 
Avis clients: "
Coenzyme Q10,Autres,Autre,Gélule,32.901,4.4,"– Améliore les performances physiques
– Protège contre le vieillissement cellulaire
– Aide en période de convalescence
– Diminue la fonte musculaire
– Anti – oxydant",Coenzyme Q10,Boite de 30 gélules,– 2 gélules par jour,Aucune,"CoQ10 300mg, antioxydant puissant, énergie cellulaire",Interactions possibles avec anticoagulants,"Excellent antioxydant, particulièrement pour +40 ans et sportifs",4.4,"[""Good quality."", ""Bon Produit"", ""Bon produit . aide a rester en forme"", ""Bon rapport qualit\u00e9 prix""]",https://vital.com.tn/cdn/shop/products/coenzyme-q10.jpg,https://vital.com.tn/products/coenzyme-q10/,Croissance,"Produit: Coenzyme Q10
Gamme: Autres
Theme: Autre
Indications: – Améliore les performances physiques
– Protège contre le vieillissement cellulaire
– Aide en période de convalescence
– Diminue la fonte musculaire
– Anti – oxydant
Composition: Coenzyme Q10
Points positifs: CoQ10 300mg, antioxydant puissant, énergie cellulaire
Verdict: Excellent antioxydant, particulièrement pour +40 ans et sportifs
Avis clients: Good quality. | Bon Produit | Bon produit . aide a rester en forme"
Coffret bon appétit,Autres,Digestif,,36.59,,"Prise de poids
Stimule l’appétit
Améliore la digestion",,2 Grossivit plus vitaminé 1 Levure de bière 1 Phythothéra Spiruline,"– Grossivit plus vitaminé : 2 à 3 gélules par jour au moment des principaux repas
– Levure de bière : 2 à 3 gélules par jour au moment des repas
– Spiruline : 2 gélules par jour",,,,,,[],https://vital.com.tn/cdn/shop/products/coffret-bon-appetit-2.jpg,https://vital.com.tn/products/coffret-bon-appetit-2/,Croissance,"Produit: Coffret bon appétit
Gamme: Autres
Theme: Digestif
Indications: Prise de poids
Stimule l’appétit
Améliore la digestion
Composition: 
Points positifs: 
Verdict: 
Avis clients: "
Coffret De-tonic,Autres,Energie,,23.5,,"Draine
Elimine
Brule
vitalité",,1 Minciligne 1 Minciligne vitaminé 1 Minciligne brûle graisse 1 Phytothéra guarana,"– Minciligne Brûle graisse : 2 gélules par jour
– Minciligne Coupe faim : 2 gélules par jour
– Minciligne Vitaminé : 1 sachet par jour pur ou dilué dans 1,5 L d’eau, les boire le long de la journée, loin des repas
– Guarana : 1 gélule le matin",,,,,,[],https://vital.com.tn/cdn/shop/products/coffret-de-tonic.jpg,https://vital.com.tn/products/coffret-de-tonic/,Croissance,"Produit: Coffret De-tonic
Gamme: Autres
Theme: Energie
Indications: Draine
Elimine
Brule
vitalité
Composition: 
Points positifs: 
Verdict: 
Avis clients: "
Coffret Detox,Autres,Minceur,,43.5,5.0,"Draine
Elimine
Brule
Purifie",,1 Minciligne 9 plantes 1 Minciligne draineur 1 Minciligne brûle graisse 1 GPS artichaut,"– Minciligne 9 plantes : Diluer une dose dans 1,5 L d’eau, les boire le long de la journée, loin des repas
– Minciligne Draineur : 2 gélules par jour
– Minciligne Brûle graisse : 2 gélules par jour
– GPS Artichaut : 1 gélule le matin 1 gélule le soir",,,,,,[],https://vital.com.tn/cdn/shop/products/coffret-detox-2.jpg,https://vital.com.tn/products/coffret-detox-2/,Croissance,"Produit: Coffret Detox
Gamme: Autres
Theme: Minceur
Indications: Draine
Elimine
Brule
Purifie
Composition: 
Points positifs: 
Verdict: 
Avis clients: "
Cosmopharma Vital Vaseline Glycérine Pommade 40 Gr,Autres,Articulations,,5.523,4.6,"Hydrater les zones sèches, adoucir les coudes, genoux et mains, protéger les lèvres","Vaseline, glycérine","Soin polyvalent qui agit comme hydratant et lubrifiant, idéal pour tous types de peaux.",Appliquer sur les zones sèches ou fragilisées et masser doucement jusqu'à absorption,,"Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12",Nécessite une cure de 3 mois minimum,"Excellent produit pour anémie et fatigue, très bien toléré",4.6,"[""Excellent"", ""nice product"", ""Je n\u2019ai pas aim\u00e9 ces comprim\u00e9s. Ils contiennent du sulfate de zinc et m\u2019ont caus\u00e9 des effets secondaires tels que des naus\u00e9es et des maux d\u2019estomac lorsque je les ai utilis\u00e9s \u00e0 jeun. Il est donc recommand\u00e9 de les prendre apr\u00e8s avoir mang\u00e9."", ""Tres bien"", ""Haja top""]",,,Croissance/Promo,"Produit: Cosmopharma Vital Vaseline Glycérine Pommade 40 Gr
Gamme: Autres
Theme: Articulations
Indications: Hydrater les zones sèches, adoucir les coudes, genoux et mains, protéger les lèvres
Composition: Vaseline, glycérine
Points positifs: Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12
Verdict: Excellent produit pour anémie et fatigue, très bien toléré
Avis clients: Excellent | nice product | Je n’ai pas aimé ces comprimés. Ils contiennent du sulfate de zinc et m’ont causé des effets secondaires tels que des nausées et des maux d’estomac lorsque je les ai utilisés à jeun. Il est donc recommandé de les prendre après avoir mangé."
Cosmopharma Vital Vaseline Pommade 40 Gr,Autres,Articulations,,4.03,4.6,"Hydrater les zones sèches, adoucir les coudes, genoux et mains, protéger les lèvres","Vaseline, glycérine","Soin polyvalent qui agit comme hydratant et lubrifiant, idéal pour tous types de peaux.",Appliquer sur les zones sèches ou fragilisées et masser doucement jusqu'à absorption,,"Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12",Nécessite une cure de 3 mois minimum,"Excellent produit pour anémie et fatigue, très bien toléré",4.6,"[""Excellent"", ""nice product"", ""Je n\u2019ai pas aim\u00e9 ces comprim\u00e9s. Ils contiennent du sulfate de zinc et m\u2019ont caus\u00e9 des effets secondaires tels que des naus\u00e9es et des maux d\u2019estomac lorsque je les ai utilis\u00e9s \u00e0 jeun. Il est donc recommand\u00e9 de les prendre apr\u00e8s avoir mang\u00e9."", ""Tres bien"", ""Haja top""]",,,Croissance/Promo,"Produit: Cosmopharma Vital Vaseline Pommade 40 Gr
Gamme: Autres
Theme: Articulations
Indications: Hydrater les zones sèches, adoucir les coudes, genoux et mains, protéger les lèvres
Composition: Vaseline, glycérine
Points positifs: Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12
Verdict: Excellent produit pour anémie et fatigue, très bien toléré
Avis clients: Excellent | nice product | Je n’ai pas aimé ces comprimés. Ils contiennent du sulfate de zinc et m’ont causé des effets secondaires tels que des nausées et des maux d’estomac lorsque je les ai utilisés à jeun. Il est donc recommandé de les prendre après avoir mangé."
